timestep,time,golf_0,sprinter_0
0,2024-05-13 00:00:00,0.8,0.8
1,2024-05-13 00:15:00,0.8,0.8
2,2024-05-13 00:30:00,0.8,0.8
3,2024-05-13 00:45:00,0.8,0.8
4,2024-05-13 01:00:00,0.8,0.8
5,2024-05-13 01:15:00,0.8,0.8
6,2024-05-13 01:30:00,0.8,0.8
7,2024-05-13 01:45:00,0.8,0.8
8,2024-05-13 02:00:00,0.8,0.8
9,2024-05-13 02:15:00,0.8,0.8
10,2024-05-13 02:30:00,0.8,0.8
11,2024-05-13 02:45:00,0.8,0.8
12,2024-05-13 03:00:00,0.8,0.8
13,2024-05-13 03:15:00,0.8,0.8
14,2024-05-13 03:30:00,0.8,0.8
15,2024-05-13 03:45:00,0.8,0.8
16,2024-05-13 04:00:00,0.8,0.8
17,2024-05-13 04:15:00,0.8,0.8
18,2024-05-13 04:30:00,0.8,0.8
19,2024-05-13 04:45:00,0.8,0.8
20,2024-05-13 05:00:00,0.8,0.8
21,2024-05-13 05:15:00,0.8,0.8
22,2024-05-13 05:30:00,0.8,0.8
23,2024-05-13 05:45:00,0.8,0.8
24,2024-05-13 06:00:00,0.8,0.8
25,2024-05-13 06:15:00,0.8,0.8
26,2024-05-13 06:30:00,0.8,0.8
27,2024-05-13 06:45:00,0.8,0.8
28,2024-05-13 07:00:00,0.8,0.8
29,2024-05-13 07:15:00,0.8,0.8
30,2024-05-13 07:30:00,0.8,0.8
31,2024-05-13 07:45:00,0.8,0.8
32,2024-05-13 08:00:00,0.8,0.8
33,2024-05-13 08:15:00,0.8,0.7910238264022965
34,2024-05-13 08:30:00,0.8,0.782047652804593
35,2024-05-13 08:45:00,0.8,0.7730714792068895
36,2024-05-13 09:00:00,0.9045000000000001,0.7640953056091858
37,2024-05-13 09:15:00,0.9007185819129927,0.7551191320114823
38,2024-05-13 09:30:00,0.8969371638259853,0.7461429584137788
39,2024-05-13 09:45:00,0.8931557457389779,0.7371667848160752
40,2024-05-13 10:00:00,0.8893743276519706,0.7281906112183717
41,2024-05-13 10:15:00,0.8855929095649632,0.7192144376206682
42,2024-05-13 10:30:00,0.8818114914779558,0.7102382640229646
43,2024-05-13 10:45:00,0.8780300733909484,0.7012620904252611
44,2024-05-13 11:00:00,0.874248655303941,0.6922859168275575
45,2024-05-13 11:15:00,0.8704672372169336,0.6833097432298539
46,2024-05-13 11:30:00,0.8666858191299263,0.6743335696321504
47,2024-05-13 11:45:00,0.8629044010429189,0.6653573960344469
48,2024-05-13 12:00:00,0.8591229829559115,0.6563812224367434
49,2024-05-13 12:15:00,0.8553415648689041,0.6474050488390397
50,2024-05-13 12:30:00,0.8515601467818967,0.6384288752413363
51,2024-05-13 12:45:00,0.8477787286948893,0.6294527016436327
